state,price,sqft
Montana,$20326,2441
Montana,$27103,2753
Florida,$21510,2094
Florida,$88966,1261
Florida,$22944,1664
Florida,$34734,3386
Illinois,$50827,1431
Montana,$69464,2467
Florida,$58402,3888
Florida,$58660,3442
Florida,$32731,3868
Illinois,$75317,1511
Montana,$88657,1281
Montana,$48918,1733
Florida,$97532,2569
Illinois,$10052,2579
Florida,$93504,2738
Montana,$65405,1815
Montana,$4620,1463
Florida,$22956,3709
Florida,$99703,3084
Illinois,$82365,1339
California,$34010,3750
Illinois,$94878,2826
Montana,$59745,2237
California,$83164,1856
Florida,$81336,3324
Montana,$57874,2541
Montana,$51279,2557
Montana,$24616,1599
Florida,$66122,1583
Montana,$14673,2313
Florida,$28165,3548
Illinois,$38398,3089
Montana,$68050,2424
Florida,$9700,1119
Illinois,$63192,2591
Illinois,$60141,3644
Montana,$4099,1788
Montana,$94935,2329
Montana,$56897,2793
Illinois,$18963,3546
Montana,$11113,1859
Illinois,$83968,2727
California,$92229,1266
Montana,$61803,3080
California,$39380,2675
Florida,$20174,3162
California,$8180,1435
California,$65060,1624
Illinois,$14168,1553
Florida,$88117,3629
Illinois,$96582,765
Montana,$74251,961
Illinois,$81407,2131
Montana,$50472,2918
Florida,$9659,3932
Florida,$87125,2117
Florida,$97120,2578
Florida,$52646,3334
Montana,$71081,3320
Illinois,$35353,1048
Montana,$21521,1117
Florida,$67985,847
Montana,$47876,3151
Florida,$91685,3517
Montana,$16083,2350
California,$73212,3852
Montana,$88164,1334
Illinois,$97936,1821
Illinois,$62971,3256
Montana,$73756,3035
California,$93234,2749
Illinois,$77066,1712
Florida,$22503,1108
Illinois,$46425,2531
Montana,$34137,3426
Illinois,$66541,2442
Illinois,$47272,2853
Illinois,$61937,1157
Florida,$16509,3007
Montana,$28264,1459
Florida,$20569,3393
Montana,$93234,1351
California,$74159,2138
Illinois,$20989,3662
Florida,$26756,1026
Florida,$45698,1087
Florida,$61729,2631
Illinois,$84571,2381
California,$74920,1613
Florida,$58592,1101
Illinois,$89849,1697
Montana,$1102,3806
California,$91438,1586
Illinois,$81935,3239
Florida,$10065,3292
Montana,$47289,3515
California,$65141,1706
California,$54289,1639
Florida,$31185,2648
California,$79608,2594
Florida,$22897,1790
Illinois,$69389,1223
Illinois,$71546,2574
Montana,$43804,3472
Montana,$56339,2142
Florida,$77928,2212
Florida,$22380,3038
Montana,$57775,1292
Illinois,$84251,3769
California,$28420,1279
Illinois,$92444,1695
Montana,$85818,3160
California,$87083,3273
Illinois,$72360,1231
Montana,$4073,2466
Illinois,$66459,2951
California,$6153,1228
Montana,$46617,1629
California,$5741,2913
Illinois,$21684,1238
Montana,$88305,3533
Florida,$87017,1148
Illinois,$85809,2549
California,$19879,1687
Florida,$66261,3911
Illinois,$71205,2134
Florida,$97036,2241
Illinois,$18453,2730
California,$44048,2399
California,$55176,2368
Florida,$97521,2237
Florida,$98216,1503
Illinois,$93265,1258
California,$2095,3799
Montana,$41835,1250
Florida,$96276,2369
Montana,$32498,3904
California,$59753,2892
California,$85292,3062
Illinois,$85142,2032
Florida,$33931,1192
Florida,$35310,3978
Florida,$13991,1000
Illinois,$13512,1461
Montana,$76321,3157
Illinois,$58003,2878
Florida,$90278,3532
Florida,$77794,2938
California,$33801,2387
California,$37355,2994
Florida,$69044,2702
Florida,$83025,3664
Illinois,$83261,1259
Florida,$14945,1199
Florida,$7704,3188
Illinois,$93140,1204
Illinois,$1865,844
Florida,$70526,3376
Florida,$68478,1475
Montana,$50606,1375
Montana,$79750,3552
Montana,$50611,3150
Florida,$85490,3552
Montana,$26539,3498
Montana,$25631,1504
Montana,$79983,2847
California,$70747,3729
California,$66546,2910
Montana,$82308,1006
Florida,$49330,1174
Montana,$53628,1714
California,$79266,3985
Montana,$27581,1644
California,$98831,1628
Illinois,$99714,2722
Montana,$73250,3838
California,$38444,3620
Illinois,$61735,1364
Illinois,$18373,3653
Florida,$86525,3524
Montana,$7310,2124
California,$96824,2467
Florida,$78217,2628
California,$49048,776
Illinois,$82522,1419
California,$94393,3643
Florida,$22272,1880
Montana,$98055,1286
Illinois,$22630,3573
Illinois,$99291,1274
Montana,$43673,2194
Florida,$55556,1119
Illinois,$2686,1674
Illinois,$25653,1778
Illinois,$76910,3172
Illinois,$50702,2523
Florida,$1758,1441
California,$4379,1610
Illinois,$28669,3123
Montana,$31239,1601
Illinois,$72252,3638
Florida,$89926,3863
California,$53954,2938
Florida,$15185,1887
California,$32102,2331
Illinois,$47886,2166
Illinois,$23171,3192
Montana,$49951,989
California,$28328,3816
Florida,$94210,2824
California,$8773,1183
Florida,$23589,1918
Florida,$70101,928
Illinois,$30869,2914
California,$26460,2050
Illinois,$75731,3174
California,$17172,2399
Montana,$11468,949
Montana,$72660,3976
Montana,$44622,1335
Florida,$43116,3672
Illinois,$78023,3130
Illinois,$84061,3946
Florida,$46626,1297
Illinois,$78848,3576
Illinois,$24273,2291
California,$79139,3286
Illinois,$54494,2693
Illinois,$12527,1443
Florida,$85734,3510
Illinois,$4780,2814
Montana,$3378,1088
Montana,$19770,3549
Illinois,$35965,2843
Florida,$4806,3793
Montana,$69565,803
Montana,$90615,3533
California,$92140,1843
Florida,$6611,1937
Montana,$37692,983
Illinois,$28662,2147
Montana,$66214,2514
Florida,$98423,3664
Illinois,$20159,3062
Montana,$96512,3166
California,$57691,3690
Montana,$15271,3952
Montana,$58947,3167
Illinois,$63703,1702
Illinois,$24298,2007
Montana,$50707,3400
Illinois,$32720,2189
Florida,$15192,2342
Montana,$80687,3730
Montana,$66794,1589
Illinois,$26650,1840
Illinois,$25575,2017
California,$6246,1612
Illinois,$42282,3634
Florida,$48654,3351
Florida,$48828,1695
Illinois,$63375,1160
Illinois,$32206,1010
Florida,$19237,3903
California,$25206,2864
Illinois,$15783,2743
Illinois,$11987,3357
Montana,$71801,3686
Montana,$61188,3853
California,$99616,3374
California,$87948,1205
Florida,$39058,2081
Illinois,$77829,2980
Montana,$31222,3236
California,$78369,2325
California,$57888,1630
California,$47504,817
Florida,$18139,3912
California,$88462,3638
Florida,$62062,3207
Illinois,$23545,1757
Montana,$59083,1883
California,$82140,1544
Florida,$81059,1654
Illinois,$90824,1904
Florida,$19368,3016
California,$21024,1893
Illinois,$65446,1986
Florida,$61477,1177
Illinois,$91222,2099
Montana,$29532,3134
Florida,$40872,3626
Illinois,$93680,1708
Florida,$1554,1262
Florida,$39634,3679
California,$12158,2168
Illinois,$58470,2957
Montana,$90425,2011
Florida,$53122,1450
Illinois,$60235,1735
Florida,$12525,3445
California,$16806,856
Montana,$44957,2148
Florida,$37344,2577
Montana,$20416,2215
Illinois,$80266,3882
Montana,$3713,2991
Florida,$47370,1699
Illinois,$44521,1589
Florida,$55490,2767
Illinois,$50063,2165
Illinois,$15342,2152
California,$16199,3135
Illinois,$60600,3160
Florida,$47013,1802
Montana,$37224,2974
Florida,$6485,2608
California,$67920,3015
Montana,$38833,3922
California,$63547,3429
California,$53253,2242
California,$11410,1304
Illinois,$77289,1757
Florida,$50851,2940
Montana,$34656,1021
Florida,$34377,2906
Illinois,$98307,3200
Montana,$38488,3149
Illinois,$78881,3160
Montana,$74065,3284
California,$51189,3109
Montana,$64907,2480
Illinois,$42938,3075
Illinois,$99301,3291
California,$74815,1845
California,$63496,1877
Montana,$75842,3221
Illinois,$4734,2344
Florida,$4843,3685
Illinois,$76710,942
California,$77937,1097
California,$32276,3478
Florida,$9772,1772
Montana,$29954,2940
Montana,$78854,1419
Illinois,$10791,1277
Illinois,$43494,2371
California,$82702,2026
California,$31063,2261
Illinois,$56274,2885
Florida,$70705,1150
Montana,$58965,3411
Montana,$78397,2289
California,$45339,1761
Florida,$83766,2703
Montana,$5304,1273
Montana,$33033,2288
California,$80854,3024
Montana,$46370,3055
Illinois,$15738,2166
Florida,$14635,919
Florida,$26904,1962
Florida,$1171,2723
Montana,$6803,1843
California,$86195,1722
Montana,$90774,2623
Florida,$55344,2526
Florida,$56070,846
California,$81962,1515
Montana,$2448,2351
Montana,$72787,3267
Montana,$32246,2681
Illinois,$70903,1845
Montana,$9130,1312
Florida,$26795,2835
Florida,$28039,1761
Florida,$59968,1204
Montana,$34158,2564
California,$66009,3614
Florida,$68203,3393
Montana,$90904,3477
California,$80442,1833
California,$2590,1771
Illinois,$54197,2967
Florida,$62692,2607
Florida,$98555,3010
Montana,$52925,2148
Illinois,$81321,1856
Illinois,$18119,1841
Florida,$49519,2320
California,$97814,877
Illinois,$12367,1854
Florida,$96893,806
Florida,$19407,3961
Montana,$57957,2159
Florida,$28026,3087
Montana,$32222,1293
Florida,$71290,1106
Illinois,$67312,1764
Florida,$83949,1888
Illinois,$98271,1992
California,$6014,2865
Florida,$9429,2440
Illinois,$98962,3495
Illinois,$62386,1868
California,$73081,890
Illinois,$58472,972
Montana,$73780,3174
Florida,$70062,3969
Florida,$53056,2259
California,$76701,2193
California,$56689,1330
Montana,$99091,3700
Montana,$60571,1882
Florida,$94330,1660
California,$61016,1306
Montana,$88383,3551
Florida,$44580,3373
Florida,$2568,984
Illinois,$84587,809
Montana,$66143,3098
Illinois,$27726,3168
California,$45111,3705
Illinois,$73270,3269
Illinois,$83256,828
California,$2460,3143
California,$89108,1266
Montana,$18660,946
Illinois,$99890,1335
Florida,$11136,2625
Florida,$59553,2367
Illinois,$25950,3585
California,$66931,2982
California,$99842,1880
California,$65790,3422
Florida,$25873,978
Florida,$23101,1399
Montana,$78717,3386
Illinois,$54675,3053
California,$65191,2950
Montana,$85754,2344
Florida,$6925,1788
Illinois,$61302,2734
Illinois,$91256,2869
Florida,$78412,1771
Florida,$33367,2808
California,$73238,3097
Florida,$21834,778
California,$46897,1871
Montana,$57629,1650
Florida,$3596,2172
Illinois,$18205,1414
Illinois,$98918,3235
Montana,$54144,1488
Montana,$3912,1724
Florida,$8121,3552
Florida,$78291,3912
Illinois,$17210,3606
Montana,$28198,2811
Florida,$15166,1337
Florida,$16533,1128
Montana,$32947,2363
California,$96056,1307
Illinois,$92966,1970
Florida,$10755,3430
Montana,$48536,3773
California,$88764,1939
Florida,$54190,2772
Illinois,$16671,884
Montana,$83650,1384
Montana,$93107,2817
Montana,$73610,1520
Illinois,$97676,1448
California,$61003,3042
Florida,$5656,3864
Montana,$31406,3553
Montana,$73013,3452
Illinois,$26647,1550
Illinois,$63472,3042
California,$87409,1860
Illinois,$7339,1536
Florida,$94037,1856
Montana,$61351,2669
California,$98579,2344
California,$24129,1561
Illinois,$1152,1229
Montana,$57729,3068
California,$60614,1203
Montana,$19787,3754
Florida,$9013,1254
California,$54213,3642
California,$13866,1704
Illinois,$51379,1223
Illinois,$65404,1934
Illinois,$63179,2574
California,$23005,1315
Florida,$38598,2753
Montana,$11553,965
Illinois,$42026,3932
California,$8642,2734
California,$59967,1438
Illinois,$49293,2561
Montana,$38309,3407
Florida,$98312,1637
Montana,$3246,3113
Florida,$23042,2919
Montana,$56189,1169
Florida,$4141,3531
California,$44163,1430
Montana,$64331,1027
Montana,$49798,2620
Florida,$88447,1028
Florida,$65773,3295
Illinois,$40466,2810
Illinois,$32222,3375
Illinois,$79139,2479
Illinois,$49367,2616
Florida,$90059,1289
Illinois,$27593,1432
Illinois,$58508,3586
Montana,$87151,827
Montana,$48472,826
California,$85639,3596
Florida,$76687,3787
Illinois,$17455,3532
Illinois,$67320,3773
Montana,$66055,2582
Florida,$62524,3013
California,$76560,784
California,$90357,978
Montana,$79536,2966
Florida,$25344,1714
Montana,$68327,3391
Florida,$69639,3603
Florida,$81985,3313
Montana,$98331,929
Florida,$49720,2586
Florida,$53821,1470
California,$79107,2615
California,$2048,3648
Illinois,$44039,1218
Florida,$73682,2125
California,$79916,2823
Illinois,$64651,3671
Florida,$94896,2367
Florida,$61116,3005
Illinois,$29940,1279
Montana,$69532,2302
California,$60556,2427
Illinois,$69121,2525
Montana,$40560,3179
Illinois,$98589,3889
Florida,$77192,3403
Florida,$51865,3718
California,$50116,3059
Florida,$73197,2969
Florida,$72954,3529
Montana,$13486,3322
Florida,$10272,2111
Illinois,$21131,2636
Florida,$53500,3453
Montana,$87468,1971
Montana,$92228,2861
California,$39245,2185
Florida,$3841,1514
California,$33201,1735
Florida,$1712,2276
Illinois,$42926,3693
Montana,$96546,3650
California,$61966,3565
California,$64408,3392
Illinois,$38483,1002
Illinois,$86278,3000
Florida,$19043,3321
Illinois,$75819,3794
Florida,$93820,780
Florida,$13139,1598
Florida,$19090,1246
Montana,$28214,3179
Montana,$68000,1623
California,$36861,1311
California,$53636,2597
California,$46962,2513
Florida,$88590,3998
Florida,$25269,3237
California,$41240,1321
Florida,$49547,2487
Florida,$67710,3565
California,$59250,3593
Montana,$86193,2060
Florida,$7221,921
California,$86627,1636
Montana,$55918,3065
Florida,$65725,2974
Montana,$93623,2991
California,$87209,1428
Florida,$68957,3855
California,$54800,3793
Illinois,$65106,1437
Montana,$38630,1599
California,$49226,851
Florida,$93478,2346
Montana,$85196,3189
Florida,$99154,3415
Illinois,$75025,3204
Illinois,$44894,3813
Montana,$14060,1479
Florida,$89178,2887
California,$35485,2463
Florida,$16752,2994
Montana,$77152,3831
Montana,$8022,2314
Florida,$46882,2626
Florida,$52768,1574
Illinois,$74270,903
Florida,$43562,944
California,$56686,3047
Illinois,$13257,2159
Illinois,$68393,1349
California,$70171,1512
Montana,$38967,3141
Illinois,$61584,2511
California,$28302,1053
Montana,$68275,3134
Montana,$80251,3660
California,$66077,1342
Illinois,$35584,3934
Florida,$77148,2430
Montana,$2841,1788
Illinois,$78471,3280
Florida,$54223,2089
Montana,$45036,1751
Illinois,$7455,3957
California,$97362,2642
Illinois,$90932,1578
California,$6221,3117
California,$30760,2359
Illinois,$84318,2157
Florida,$99922,3516
Illinois,$76362,3230
Montana,$5032,2860
California,$42102,3073
Montana,$38578,1358
California,$95194,879
Illinois,$19949,2198
California,$60067,1187
Florida,$11577,2841
Illinois,$26328,2009
California,$56588,1291
California,$50825,1307
Montana,$18252,3756
Montana,$58991,2083
Illinois,$1770,1777
California,$7333,793
California,$24088,1977
Florida,$68539,2430
Illinois,$17293,3124
Florida,$7816,983
California,$22422,3353
Illinois,$83205,3609
Illinois,$13203,3524
Illinois,$18301,1054
Florida,$75689,1488
California,$39409,3859
Florida,$45163,954
Florida,$28227,2806
California,$31284,924
California,$31821,1999
Illinois,$26965,1534
Illinois,$62475,1499
California,$23129,2240
California,$67476,2316
Montana,$21937,3862
Montana,$14883,3512
California,$7840,1430
Montana,$83248,909
Florida,$92448,785
Montana,$45665,2046
Florida,$7685,1716
Illinois,$54486,1292
Montana,$4841,2604
Montana,$72517,3098
Florida,$48249,1280
California,$11291,3702
Florida,$22936,1308
Illinois,$51124,933
Florida,$64866,1927
Florida,$36542,1296
Illinois,$24849,2186
Florida,$29735,2724
Florida,$11966,3811
Illinois,$20839,3847
Illinois,$72752,1549
Montana,$53990,1115
Florida,$10466,1165
Florida,$43347,3854
Montana,$7704,2224
California,$60367,2698
California,$98691,2724
Montana,$62805,3299
Illinois,$24571,1653
Florida,$74276,1339
California,$91657,3437
Florida,$91015,1211
Illinois,$36960,2098
Florida,$15485,2737
Florida,$89335,3387
Illinois,$8928,3245
Florida,$19624,1861
Florida,$49081,1443
Florida,$84870,1690
Illinois,$39037,3611
Illinois,$57170,3911
California,$7230,2675
California,$35319,2259
Illinois,$51566,3835
Montana,$59083,3701
Illinois,$81170,3153
Florida,$50433,2818
Florida,$69724,1745
Illinois,$67484,2649
Florida,$9965,3353
Montana,$7398,2676
Illinois,$23377,1053
Florida,$11523,893
Montana,$87045,3896
California,$93289,3321
Florida,$29119,3246
Florida,$68030,3831
Montana,$36515,3881
California,$71475,2567
California,$82640,3206
Florida,$61980,2754
California,$90843,3643
Montana,$27632,1785
Illinois,$48894,3469
Montana,$86848,925
Montana,$94595,1189
Montana,$6766,2988
Florida,$45149,1737
Montana,$64594,3372
Illinois,$42184,1610
Illinois,$51084,892
Florida,$34797,3695
Montana,$74088,1175
Illinois,$38788,904
California,$17313,1123
Florida,$91783,1535
Florida,$22458,3306
Florida,$74841,2037
Montana,$86633,2515
Illinois,$34550,1056
Illinois,$69689,2486
Florida,$38012,3273
California,$74677,919
Florida,$27150,3681
Florida,$72515,3983
Montana,$31701,3020
Florida,$75520,842
Illinois,$38271,3693
California,$98337,1576
Illinois,$14974,3582
California,$22186,1307
Illinois,$20723,2194
Florida,$74667,1011
Florida,$58806,3833
Montana,$34817,3603
Florida,$41777,3640
Florida,$98125,2623
Florida,$8416,3397
Florida,$78139,926
California,$34777,3953
Florida,$72492,2405
Illinois,$41231,3591
Montana,$87442,906
Montana,$7890,1020
California,$67033,1930
Illinois,$18354,2402
Montana,$40788,1154
Illinois,$19668,3371
Illinois,$23293,1046
Montana,$7138,2076
Montana,$99943,3652
Illinois,$8304,3670
Florida,$41061,3868
Montana,$15966,981
Montana,$8012,1763
California,$28633,1388
Illinois,$64203,1574
California,$65581,773
California,$27234,2424
Illinois,$73297,1128
Illinois,$86964,2536
Montana,$95602,2907
Illinois,$37784,2051
Florida,$82784,2102
California,$60346,3831
Florida,$32267,888
Illinois,$52640,2846
California,$68504,1731
Montana,$87231,2823
Florida,$24913,1296
Montana,$5799,1884
Florida,$88805,1074
Montana,$9614,1671
Florida,$51843,3626
Illinois,$52070,2649
Montana,$18152,1136
California,$99622,2749
Montana,$5916,1430
Florida,$62233,2646
Illinois,$3092,1360
Illinois,$99761,2270
Montana,$12951,1855
Illinois,$3396,2782
Montana,$91243,1303
Florida,$59802,2717
California,$7187,2705
Montana,$1900,2931
Florida,$85468,3819
Illinois,$13972,1193
Florida,$26187,2531
Florida,$12856,1648
Montana,$70343,791
California,$18486,3717
Montana,$20173,3362
Illinois,$3476,1746
Montana,$11582,2670
California,$21448,3911
California,$82136,2193
Illinois,$99593,1574
California,$18482,1435
Illinois,$11214,1357
Illinois,$14954,2248
Montana,$5739,894
California,$47142,1366
Florida,$24422,1116
Illinois,$60280,2552
California,$20978,3112
California,$28900,1486
Montana,$3206,3466
Florida,$54562,1448
California,$59628,808
Montana,$30434,2581
Florida,$26709,2954
Florida,$36362,1251
California,$13103,2468
Florida,$15497,2712
Florida,$80330,2788
Florida,$22936,3736
Florida,$53129,1402
California,$99102,3736
Montana,$26445,1518
Illinois,$97953,3835
Illinois,$1302,3432
Montana,$73345,2463
Illinois,$75205,3535
Montana,$81413,3643
California,$76662,3069
Illinois,$97599,1014
Montana,$50885,1229
California,$4328,1910
Montana,$93624,1707
Illinois,$18448,1008
Montana,$46660,995
Montana,$29791,1929
Montana,$11417,1015
Illinois,$37127,2222
Illinois,$6607,2386
Florida,$73002,2601
Illinois,$73933,923
Florida,$11014,1199
Illinois,$27915,3845
Illinois,$97235,3377
Montana,$32499,3086
Montana,$70658,2071
Florida,$76031,2101
Florida,$48798,1480
Montana,$20556,2803
Montana,$81703,1799
Florida,$97058,2977
Florida,$22139,2729
Illinois,$88210,3126
California,$72253,3847
Montana,$45570,3464
Montana,$17992,3622
Illinois,$22821,3942
Florida,$74144,3470
Illinois,$93568,1052
California,$7039,990
Illinois,$65574,1769
Illinois,$95327,2003
Illinois,$40764,2874
Florida,$98494,1387
Florida,$99265,1662
Montana,$88598,3382
California,$87593,3952
California,$47291,1167
Illinois,$83807,1476
California,$75787,3857
Illinois,$2122,3435
California,$5150,1382
California,$59222,1336
California,$16146,1741
Illinois,$13592,2212
California,$32143,819
Montana,$65773,2424
Florida,$68139,1509
Illinois,$24664,1331
Florida,$34080,3462
California,$42598,3311
California,$23111,3133
Illinois,$86830,1384
Montana,$12451,2997
California,$94266,2466
California,$50349,3605
Montana,$72751,2346
Florida,$85552,2792
California,$46402,3666
Florida,$65968,3699
Montana,$33301,2160
Florida,$52116,2613
Montana,$89667,3730
Florida,$80290,2465
California,$21400,2289
Illinois,$65105,1511
Montana,$15613,3002
California,$68697,2035
Illinois,$94750,3238
California,$97113,3640
California,$42345,2150
Illinois,$11180,2573
Florida,$76942,2125
Florida,$91267,2139
California,$82074,791
Illinois,$27721,2311
Montana,$30713,2170
California,$99930,2507
Montana,$21932,2034
Florida,$99586,1031
Florida,$96085,2341
Florida,$29525,3740
Illinois,$37041,1709
Montana,$62033,1597
Florida,$99204,3211
Illinois,$4905,2240
Illinois,$68507,1769
Florida,$60294,3403
Florida,$47655,2411
California,$72500,900
Montana,$49700,3421
Illinois,$29625,2865
California,$68312,2314
California,$20499,1476
Florida,$5483,1331
Illinois,$81878,3884
Illinois,$39066,1783
Florida,$92918,3781
Florida,$8598,1381
California,$51756,1091
Montana,$93077,2310
Florida,$53928,1600
Florida,$16195,2628
Montana,$58993,2428
Montana,$91100,2660
Illinois,$13662,1824
Montana,$77701,2327
Montana,$56382,2147
Florida,$49824,1377
Illinois,$58492,3356
Illinois,$10009,3461
Florida,$52071,2420
California,$94770,3849
Illinois,$41919,3761
Florida,$20560,789
Florida,$5667,1911
Illinois,$72538,2385
Montana,$76184,3342
California,$78107,920
Florida,$21812,3739
Montana,$24641,2525
Montana,$3218,2355
Montana,$31554,1355
California,$46956,1962
Illinois,$96899,2990
Florida,$93999,3871
California,$4929,3121
Florida,$71259,836
Montana,$22192,3363
Florida,$78546,1975
Florida,$68871,3723
Montana,$38994,1272
Montana,$67519,1712
Florida,$86527,3972
Illinois,$20135,3368
California,$69806,1646
Illinois,$86558,3327
Montana,$65868,2194
Montana,$5911,2974
Florida,$26731,1946
California,$61155,1120
Florida,$86814,2883
California,$31735,3040
Montana,$38542,1947
Montana,$1459,3369
Florida,$19621,3025
California,$93064,2168
Illinois,$20259,1569
Illinois,$55941,2307
California,$22465,1665
Montana,$45569,2840
Illinois,$71975,1948
California,$10483,2969
Florida,$78751,1692
Illinois,$73972,2813
Florida,$56748,3996
Montana,$78773,1809
California,$6323,2827
California,$80179,3676
Florida,$84611,3344
California,$40535,2467
Florida,$21134,2078
Montana,$97319,2600
Florida,$14522,1559
Montana,$48234,901
Illinois,$79705,3199
California,$2283,1321
Montana,$84510,3101
Montana,$30101,3264
Montana,$16694,3545
California,$82683,3936
Montana,$8764,3664
Montana,$87418,2616
Montana,$54523,2567
Illinois,$19692,1226
California,$68566,2330
Florida,$19619,1392
Illinois,$22868,1675
Montana,$9388,1907
Florida,$99551,3122
Illinois,$60557,1876
Florida,$90218,3885
Montana,$5294,1722
Illinois,$58245,2676
Florida,$75150,1482
California,$76891,1547
Illinois,$53778,2809
Illinois,$65796,3418
Florida,$81347,1530
Illinois,$25654,1829
Florida,$92065,2801
Montana,$15337,1866
Montana,$7460,3516
Florida,$44072,3648
California,$25375,1923
California,$28955,2514
California,$16857,3681
California,$32294,1269
Montana,$91809,1807
Illinois,$41607,3962
Illinois,$56720,3868
California,$75111,3957
Montana,$98645,1631
Illinois,$56884,2144
Florida,$20384,1800
Illinois,$45161,2653
Illinois,$37765,3996
California,$53587,2951
California,$33399,1516
Montana,$94126,3632
Montana,$10798,3726
Florida,$78039,1632
Florida,$91794,1427
Florida,$7899,3518
Montana,$96982,2439
Illinois,$33666,3904
Illinois,$61513,2488
California,$56320,952
California,$27088,2563
Illinois,$31138,1978
Illinois,$87947,2606
Illinois,$42183,2061
Illinois,$70130,3900
Florida,$86029,2370
Montana,$67855,2786
California,$38867,1625
Florida,$87526,3890
Montana,$53997,3502
California,$27126,2287
California,$64791,1877
Florida,$48094,1851
Illinois,$17566,3302
Illinois,$30325,1889
Florida,$27731,2756
Illinois,$63155,1236
Montana,$24938,3886
Florida,$36919,2326
Montana,$96258,2084
Florida,$36232,3335
California,$27486,1292
Florida,$71191,2830
Montana,$79885,2019
California,$21603,935
California,$28041,1374
Montana,$54043,3529
Illinois,$2846,1456
California,$37135,1889
Montana,$33360,3890
Florida,$20622,919
Illinois,$71078,1756
Montana,$48996,1737
Florida,$93234,2713
California,$23943,2285
Illinois,$14707,3540
Illinois,$10121,3668
Illinois,$61276,3699
Montana,$82675,1505
Florida,$88439,3299
Florida,$70470,914
Florida,$24278,3231
Florida,$77070,3233
Illinois,$69615,1908
Montana,$17902,2724
Florida,$15409,3699
California,$46806,3028
Florida,$79838,1395
Illinois,$7020,3747
California,$10616,1022
Illinois,$37614,887
California,$58858,2617
Montana,$44524,1954
California,$58926,954
Illinois,$27507,1800
Florida,$35853,3085
Illinois,$24306,3898
Florida,$26980,1906
Montana,$73271,3947
Illinois,$80697,2883
Montana,$59888,2573
Montana,$21908,1301
California,$87159,3637
Illinois,$43242,2169
Florida,$9051,1578
Florida,$22571,1730
California,$16581,3046
Illinois,$68396,956
Montana,$54106,3928
California,$15044,2255
Illinois,$45588,3264
Montana,$33416,3089
Illinois,$76255,1104
Florida,$39655,2185
Florida,$17373,2676
California,$59403,2724
Illinois,$41655,3036
Florida,$49531,3753
California,$3150,2450
Montana,$37397,790
Illinois,$95772,856
California,$66407,2364
California,$65166,2214
Florida,$92913,1426
Montana,$67534,3656
California,$29831,977
Montana,$88330,2818
Florida,$73140,3367
Illinois,$81094,2094
Illinois,$1652,2539
Montana,$4464,1953
Montana,$49291,2467
California,$18516,3111
Illinois,$8755,1401
Montana,$89416,2595
Montana,$1299,2379
California,$80291,3254
Florida,$76074,2327
Florida,$46232,839
Montana,$61869,1700
California,$56883,2464
Florida,$9158,3768
Florida,$8711,1352
Florida,$60647,3139
Illinois,$46815,3398
Florida,$91384,1172
Montana,$98294,3832
Illinois,$79299,3270
Montana,$30950,3187
Illinois,$43893,3940
California,$98408,2214
Montana,$22594,1599
Illinois,$98266,1812
Illinois,$19265,3386
California,$55105,3529
Florida,$49737,1028
Montana,$20034,2938
Florida,$15499,1390
Illinois,$47269,1782
Illinois,$76954,1534
Montana,$92846,2100
Illinois,$72924,1874
Illinois,$25752,3735
Illinois,$10608,3969
Florida,$29008,785
Florida,$84717,1612
Florida,$4455,3212
Florida,$21691,1587
Florida,$63272,2006
Illinois,$22355,2302
Illinois,$66812,1222
California,$45137,2373
California,$27617,3544
California,$93543,3857
California,$33096,3016
California,$44008,2580
Montana,$54287,2741
Montana,$76064,3609
Illinois,$50991,3744
Florida,$86757,2117
California,$62173,3340
Florida,$62610,2036
California,$8949,3248
California,$74910,1121
Montana,$29453,2141
Montana,$67161,3054
Montana,$69800,863
California,$43907,2776
Florida,$42730,2106
Montana,$67727,3378
California,$26670,3215
Florida,$3183,2826
California,$80417,1566
Illinois,$65041,822
Illinois,$3511,1645
Montana,$8544,2942
Florida,$55911,2486
Florida,$31761,3411
Florida,$59362,2518
Florida,$92271,1102
Illinois,$82379,1559
Montana,$71537,3619
Illinois,$91308,1982
Illinois,$7331,2844
California,$6652,2218
Illinois,$24573,1506
Florida,$30851,2126
Montana,$60322,3054
Florida,$64738,3928
Montana,$21300,3782
Illinois,$52368,953
Montana,$98964,921
Florida,$60834,3036
Montana,$46897,3097
California,$97660,2122
Illinois,$10648,2535
Montana,$24191,1623
Florida,$13999,2827
California,$28797,2242
Florida,$62442,1933
Illinois,$34406,1753
Montana,$87697,2646
Illinois,$81576,1818
Illinois,$12412,2295
California,$96959,2974
Montana,$98064,3860
Florida,$51047,1408
California,$27857,2109
Illinois,$82011,2425
California,$4751,1706
Montana,$54804,778
Montana,$59748,1744
Illinois,$52912,2875
Montana,$38457,2071
Florida,$31174,3636
California,$41198,1913
California,$74766,3559
Florida,$82923,2386
Florida,$18850,983
California,$94974,791
Florida,$77370,2864
Montana,$30541,2761
California,$85751,3751
California,$5796,2825
California,$27532,2254
Florida,$6004,3293
Florida,$73014,1152
Illinois,$60371,3283
Illinois,$38729,1403
Illinois,$41055,2323
Florida,$16812,2431
Illinois,$29240,2687
Montana,$85469,2619
California,$16666,2522
Montana,$59110,3473
Montana,$99963,1992
California,$11102,787
California,$49943,2216
Illinois,$77207,1112
Illinois,$91985,2281
California,$59321,2628
